,0
0,Arkansas
1,California
2,Colorado
3,Connecticut
4,Delaware
5,Georgia
6,Idaho
7,Illinois
8,Indiana
9,Iowa
10,Kansas
11,Kentucky
12,Louisiana
13,Maine
14,Maryland
15,Massachusetts
16,Michigan
17,Minnesota
18,Mississippi
19,Missouri
20,Montana
21,Nebraska
22,Nevada
23,New Hampshire
24,New Mexico
25,North Carolina
26,North Dakota
27,Oklahoma
28,Oregon
29,Pennsylvania
30,Rhode Island
31,South Dakota
32,Tennessee
33,Utah
34,Vermont
35,Virginia
36,Washington
37,West Virginia
38,Wisconsin
39,Wyoming
